Apache Hadoop: 198 committers, 101 PMC members
Project Apache Jena: 17 committers, 14 PMC members
Project Apache Royale: 17 committers, 13 PMC members
Project Apache Santuario: 17 committers, 7 PMC members
Project Apache TinkerPop: 17 committers, 12 PMC members
Project Apache Brooklyn: 16 committers, 16 PMC members
Project Apache Chukwa: 16 committers, 12 PMC members
Project Apache JSPWiki: 16 committers, 11 PMC members
Project Apache Mnemonic: 16 committers, 12 PMC members
Project Apache River: 16 committers, 12 PMC members
Project Apache Allura: 15 committers, 15 PMC members
Project Apache Any23: 15 committers, 15 PMC members
Project Apache Crunch: 15 committers, 12 PMC members
Project Apache BVal: 14 committers, 13 PMC members
Project Apache DRAT: 14 committers, 14 PMC members
Project Apache Isis: 14 committers, 14 PMC members
Project Apache JMeter: 14 committers, 9 PMC members
Project Apache MADlib: 14 committers, 14 PMC members
Project Apache Velocity: 14 committers, 9 PMC members
Project Apache Marmotta: 13 committers, 11 PMC members
Project Apache MetaModel: 13 committers, 11 PMC members
Project Apache Serf: 13 committers, 13 PMC members
Project Apache Curator: 12 committers, 12 PMC members
Project Apache Guacamole: 12 committers, 9 PMC members
Project Apache Juneau: 12 committers, 12 PMC members
Project Apache Kibble: 12 committers, 12 PMC members
Project Apache Unomi: 12 committers, 6 PMC members
Project Apache VXQuery: 12 committers, 8 PMC members
Project Apache Yetus: 12 committers, 9 PMC members
Project Apache Shiro: 11 committers, 9 PMC members
Project Apache Turbine: 11 committers, 9 PMC members
Project Apache Buildr: 10 committers, 7 PMC members
Project Apache Celix: 10 committers, 10 PMC members
Project Apache Joshua: 10 committers, 10 PMC members
Project Apache VCL: 10 committers, 7 PMC members
Project Apache Whimsy: 10 committers, 10 PMC members
Project Apache Empire-db: 9 committers, 10 PMC members
Project Apache Fluo: 9 committers, 9 PMC members
Project Apache FreeMarker: 9 committers, 7 PMC members
Project Apache Pivot: 9 committers, 7 PMC members
Project Apache Steve: 9 committers, 5 PMC members
Project Apache Twill: 9 committers, 6 PMC members
Project Apache Johnzon: 8 committers, 6 PMC members
Project Apache Roller: 8 committers, 5 PMC members
Project Apache Streams: 8 committers, 8 PMC members
